Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-10-26,13:00,,60,31,,,,
2016-10-26,14:00,,64,33,,,,
2016-10-26,15:00,,74,36,,,,
2016-10-26,16:00,,84,41,,,,
2016-10-26,17:00,,65,39,,,,
2016-10-26,18:00,,101,36,,,,
2016-10-26,19:00,,45,29,,,,
2016-10-26,20:00,,51,27,,,,
2016-10-26,21:00,,40,20,,,,
2016-10-26,22:00,,21,14,,,,
2016-10-26,23:00,,23,13,,,,
2016-10-27,00:00,,22,15,,,,
2016-10-27,01:00,,20,10,,,,
2016-10-27,02:00,,16,11,,,,
2016-10-27,03:00,,15,9,,,,
2016-10-27,04:00,,49,10,,,,
2016-10-27,05:00,,77,15,,,,
2016-10-27,06:00,,188,23,,,,
2016-10-27,07:00,,227,27,,,,
2016-10-27,08:00,,148,23,,,,
2016-10-27,09:00,,110,25,,,,
2016-10-27,10:00,,93,33,,,,
2016-10-27,11:00,,84,32,,,,
2016-10-27,12:00,,67,27,,,,
2016-10-27,13:00,,53,28,,,,
2016-10-27,14:00,,34,25,,,,
2016-10-27,15:00,,46,32,,,,
2016-10-27,16:00,,40,31,,,,
2016-10-27,17:00,,40,36,,,,
2016-10-27,18:00,,57,41,,,,
